,PC1
2023-01-16,-1.0566659408208476
2023-01-23,-0.024356579236883998
2023-01-30,-0.6343743780380329
2023-02-06,-0.849602000390428
2023-02-13,-0.210580823288293
2023-02-20,-0.19681444425141936
2023-02-27,-0.7800220656834068
2023-03-06,-1.7282674377560872
2023-03-13,-0.9097131801414488
2023-03-20,-1.3150651956343298
2023-03-27,6.3910033574341085
2023-04-03,5.426031735035367
2023-04-10,5.436350522949297
2023-04-17,-0.15072797684213474
2023-04-24,-0.5433152801063659
2023-05-01,-0.4684043344272859
2023-05-08,-0.13496481449109674
2023-05-15,-3.6563172486365425
2023-05-22,-0.7904489971039897
2023-05-29,-0.9531183356542687
2023-06-05,-0.9213643149271171
2023-06-12,-0.9231499389281891
2023-06-19,-1.0944475465875818
2023-06-26,-0.7593118992289856
2023-07-03,-1.299278665076022
2023-07-10,-0.8806072835358967
2023-07-17,-0.40446961138955717
2023-07-24,-1.6264294097754075
2023-07-31,-1.000691615895765
2023-08-07,0.29267815224608096
2023-08-14,-1.2898808190627795
2023-08-21,-0.27705650321894987
2023-08-28,-0.7337673213494622
2023-09-04,-1.2545211664261198
2023-09-11,-1.0045252418110222
2023-09-18,-1.8390833405903457
2023-09-25,-1.2771430065233984
2023-10-02,0.06474178768692095
2023-10-09,-1.2770773085864329
2023-10-16,-1.2249648002664946
2023-10-23,-0.7283112418770923
2023-10-30,-0.6327100465756303
2023-11-06,-0.6338830032510332
2023-11-13,-0.7711826465817733
2023-11-20,-0.7604671552720218
2023-11-27,-1.0844072477971516
2023-12-04,-0.4539850930302635
2023-12-11,9.371153478610996
2023-12-18,7.414571767927057
2023-12-25,8.40181702218072
2024-01-01,-0.7967644318514558
2024-01-08,-1.2114101145378184
2024-01-15,-0.51461492351666
2024-01-22,-1.0108006116568524
2024-01-29,-0.7378254518047582
2024-02-05,-1.2362917830962519
2024-02-12,-1.0834653852825578
2024-02-19,-0.6635305516728348
2024-02-26,-1.138574747180577
2024-03-04,-0.9610737074433692
2024-03-11,-1.3278528987210798
2024-03-18,-0.964416729362995
2024-03-25,6.353207421886525
2024-04-01,4.709425910398891
2024-04-08,4.8555300008776925
2024-04-15,-0.22400795964268727
2024-04-22,-1.441313193618942
2024-04-29,-0.7839333593123924
2024-05-06,-0.6130563820810313
2024-05-13,-1.6295406428889416
2024-05-20,-0.8873221993960816
2024-05-27,-1.2724050928171577
2024-06-03,-0.4968707008938712
2024-06-10,-0.4493311397528339
2024-06-17,-0.27682912196001347
2024-06-24,-1.4877284885401363
2024-07-01,-0.5534877341681401
2024-07-08,-0.7458421836737843
2024-07-15,-1.444686814575236
2024-07-22,-0.35950882466532713
2024-07-29,-1.087309155602523
2024-08-05,-1.049472194257862
2024-08-12,-1.3206146731361188
2024-08-19,-0.3619402031984169
2024-08-26,-0.5070853818359227
2024-09-02,-1.4787572854191176
2024-09-09,-0.8137041530997428
2024-09-16,-0.5635086221498958
2024-09-23,-0.8116158878177386
2024-09-30,-1.1531870671548459
2024-10-07,-0.9563363667228688
2024-10-14,-1.2647379379631922
2024-10-21,0.453288298723456
2024-10-28,-0.5833649653493069
2024-11-04,-1.4689040821570885
2024-11-11,-1.5180319388082322
2024-11-18,-0.4890417366711808
2024-11-25,-0.5188973910109491
2024-12-02,-1.32866445026703
2024-12-09,8.879612715661766
2024-12-16,7.842062430118442
2024-12-23,8.786208685048118
2024-12-30,-1.5192394501585191
